Contando arquivos...
Sincronizando...
Iniciando worker 1
Iniciando worker 2
Iniciando worker 3
Iniciando worker 4
Iniciando worker 5
Iniciando worker 6
Iniciando worker 7
Iniciando worker 8
Iniciando worker 9
Iniciando worker 10
Progresso quantidade: 0.03%, Progresso bytes: 0.00%
Progresso quantidade: 0.06%, Progresso bytes: 0.01%
Progresso quantidade: 0.09%, Progresso bytes: 0.02%
Progresso quantidade: 0.12%, Progresso bytes: 0.02%
Progresso quantidade: 0.15%, Progresso bytes: 0.02%
Progresso quantidade: 0.18%, Progresso bytes: 0.03%
Progresso quantidade: 0.21%, Progresso bytes: 0.03%
Progresso quantidade: 0.24%, Progresso bytes: 0.03%
Progresso quantidade: 0.27%, Progresso bytes: 0.04%
Progresso quantidade: 0.30%, Progresso bytes: 0.06%
Progresso quantidade: 0.33%, Progresso bytes: 0.06%
Progresso quantidade: 0.36%, Progresso bytes: 0.07%
Progresso quantidade: 0.39%, Progresso bytes: 0.08%
Progresso quantidade: 0.42%, Progresso bytes: 0.09%
Progresso quantidade: 0.45%, Progresso bytes: 0.10%
Progresso quantidade: 0.48%, Progresso bytes: 0.11%
Progresso quantidade: 0.51%, Progresso bytes: 0.12%
Progresso quantidade: 0.54%, Progresso bytes: 0.13%
Progresso quantidade: 0.57%, Progresso bytes: 0.14%
Progresso quantidade: 0.60%, Progresso bytes: 0.15%
Progresso quantidade: 0.63%, Progresso bytes: 0.15%
Progresso quantidade: 0.66%, Progresso bytes: 0.16%
Progresso quantidade: 0.69%, Progresso bytes: 0.16%
Progresso quantidade: 0.72%, Progresso bytes: 0.17%
Progresso quantidade: 0.75%, Progresso bytes: 0.18%
Progresso quantidade: 0.79%, Progresso bytes: 0.19%
Progresso quantidade: 0.82%, Progresso bytes: 0.20%
Progresso quantidade: 0.85%, Progresso bytes: 0.21%
Progresso quantidade: 0.88%, Progresso bytes: 0.21%
Progresso quantidade: 0.91%, Progresso bytes: 0.22%
Progresso quantidade: 0.94%, Progresso bytes: 0.23%
Progresso quantidade: 0.97%, Progresso bytes: 0.23%
Progresso quantidade: 1.00%, Progresso bytes: 0.31%
Progresso quantidade: 1.03%, Progresso bytes: 0.32%
Progresso quantidade: 1.06%, Progresso bytes: 0.33%
Progresso quantidade: 1.09%, Progresso bytes: 0.33%
Progresso quantidade: 1.12%, Progresso bytes: 0.34%
Progresso quantidade: 1.15%, Progresso bytes: 0.34%
Progresso quantidade: 1.18%, Progresso bytes: 0.35%
Progresso quantidade: 1.21%, Progresso bytes: 0.35%
Progresso quantidade: 1.24%, Progresso bytes: 0.35%
Progresso quantidade: 1.27%, Progresso bytes: 0.36%
Progresso quantidade: 1.30%, Progresso bytes: 0.36%
Progresso quantidade: 1.33%, Progresso bytes: 0.36%
Progresso quantidade: 1.36%, Progresso bytes: 0.37%
Progresso quantidade: 1.39%, Progresso bytes: 0.37%
Progresso quantidade: 1.42%, Progresso bytes: 0.37%
Progresso quantidade: 1.45%, Progresso bytes: 0.38%
Progresso quantidade: 1.48%, Progresso bytes: 0.38%
Progresso quantidade: 1.51%, Progresso bytes: 0.38%
Progresso quantidade: 1.54%, Progresso bytes: 0.39%
Progresso quantidade: 1.57%, Progresso bytes: 0.39%
Progresso quantidade: 1.60%, Progresso bytes: 0.41%
Progresso quantidade: 1.63%, Progresso bytes: 0.43%
Progresso quantidade: 1.66%, Progresso bytes: 0.46%
Progresso quantidade: 1.69%, Progresso bytes: 0.48%
Progresso quantidade: 1.72%, Progresso bytes: 0.50%
Progresso quantidade: 1.75%, Progresso bytes: 0.52%
Progresso quantidade: 1.78%, Progresso bytes: 0.56%
Progresso quantidade: 1.81%, Progresso bytes: 0.58%
Progresso quantidade: 1.84%, Progresso bytes: 0.62%
Progresso quantidade: 1.87%, Progresso bytes: 0.63%
Progresso quantidade: 1.90%, Progresso bytes: 0.65%
Progresso quantidade: 1.93%, Progresso bytes: 0.66%
Progresso quantidade: 1.96%, Progresso bytes: 0.69%
Progresso quantidade: 1.99%, Progresso bytes: 0.71%
Progresso quantidade: 2.02%, Progresso bytes: 0.73%
